Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,16.281688156747336,14.790162514730024,4.504951967021498e-12,11,1.4189385332046724,4.132731354122492,143.0632541986958,103.01783284474499,-328.9549697333185,1.0,-4.0959512093006176e-16,-0.003421006229426736,0.0,0.003164742124284111,0.0034210062294263268
1,9.6665539753722,-54.381375277113136,0.023608739325889028,12,1.4213068589981093,4.1425306077180215,180.20848360561428,118.67798518962331,-368.47902804265243,1.0023711324922573,-7.901627284417347e-17,-7.901627284417347e-17,0.0,0.0,0.0
2,6.438427146294642,-56.380455046704405,0.2969049847463281,14,1.4213068589981095,4.142530607718022,170.0328019765023,141.3499670451685,-391.6458828513155,1.002371132492257,-7.327346655186911e-17,-0.0021299012275277987,0.0,0.00216479579911604,0.0021299012275277254
3,2.9321341392991576,-178.42527276931935,0.35012540421753446,15,1.4016469858812413,4.061884326948057,168.0273610382333,131.27610873994908,-378.8045117093435,0.982857093504574,-5.4668942483942794e-17,-0.00024477185718701415,0.0,7.487402805305683e-05,0.0002447718571869595
4,6.058995343379213,-131.91085755022053,0.18292034664191037,13,1.4011152112643008,4.059724894182692,196.71207544035093,125.49227180025112,-395.0465908152175,0.9823345739937883,-1.2674208522305292e-16,-0.007508081703046624,0.0,0.004882864640018559,0.0075080817030464975
5,15.700624777600108,73.31748503483541,-1.555127577660139,11,1.4035455445199003,4.069603377742877,85.70155998575336,122.22452437059823,-195.07984305930415,0.9847248778179966,-5.600934181897391e-17,-4.430946307579364e-05,0.0,0.0026163779389029463,4.4309463075737626e-05
6,17.307845159532732,99.5923960387345,-0.5299548592970587,10,1.4042738338795038,4.072568306112534,17.297708648578514,133.72480105950993,74.63917616307036,0.9854423036837501,6.645795025406187e-17,-0.0009148258728605723,0.0,0.004381107903654225,0.0009148258728606388
7,14.341291840919933,78.61401161962874,-0.13644533077766385,10,1.3717182024487753,3.942118237010504,15.10272997313544,100.48078436786955,49.65255585129577,0.9538772059495597,-1.214139899730071e-16,-0.0012284463634839578,0.0,0.001843392362889098,0.0012284463634838364
8,18.68344787018487,82.5719449226722,0.08175177651435928,10,1.3753771900899587,3.9565688200499243,11.407018380175273,106.8159521135611,66.11118864184901,0.9573738239973325,5.631051180898794e-17,-0.00103464414711655,0.0,0.004765359817920003,0.0010346441471166064
9,24.31415097095709,87.27501992779217,0.23714856032162823,10,1.3793216641270045,3.972206223427181,9.430900542060302,100.20928901454124,67.1627883635082,0.9611576178221256,1.1532996779806126e-16,-0.0026584269964383847,0.0,0.0022288226902090185,0.0026584269964385
