Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,10.32188078664743,-33.05943118555426,3.5500491435414006e-12,13,1.4189385332046724,4.132731354122492,137.86945743130227,91.8663720464168,-277.24259087994426,1.0,-2.105334684429692e-16,-0.005371987014243684,0.0,0.002818165065282006,0.0053719870142434735
1,20.21642858547455,41.71164330078425,-0.23519303391679158,11,1.4216660259720897,4.144018735128129,128.66642131729523,123.21010907649114,-361.57007207735546,1.002731215759857,-3.875657904346282e-16,-0.002381965769187468,0.0,0.002236850518621982,0.00238196576918708
2,12.94515114474022,-1.7792895335836185,0.05106851134989776,12,1.4219329807945953,4.145125148588658,133.68928472222916,117.64781769709602,-288.7813642746407,1.002998935426519,8.06440689676808e-16,-0.001533601153291026,0.0,0.0016730800212447084,0.0015336011532918325
3,17.071110220777285,44.1814997620611,0.08735895507749203,11,1.4218359996029406,4.14472316890474,126.50691031596799,165.53148061124722,-344.9864451924419,1.00290166811116,3.4053403933439762e-18,-0.0006253291621196537,0.0,0.002335191737657752,0.0006253291621196571
4,16.41133077411656,-100.28263690276081,0.24926365938474782,12,1.4204153956283632,4.138839338983078,200.66035286437864,123.18151684609771,-396.4825409687461,1.0014779535220677,-1.4163135545508533e-16,-0.004795574727920257,0.0,0.0027572444307298535,0.004795574727920116
5,13.466752441336013,-26.280994323406052,-0.08135758205011423,12,1.4213945744290175,4.142893987512102,160.74391059707742,110.81500504303004,-305.69807886553696,1.0024590597643062,-4.148604083525001e-17,-1.1631688063628186e-05,0.0,0.0007516670753632967,1.16316880635867e-05
6,9.96926115785074,-115.07406468024983,0.4454192349795436,12,1.419364792509073,4.1344933448205605,188.1235032652478,74.7672004931768,-376.9945998524207,1.0004263501658073,1.676328978540819e-16,-8.929212223480986e-05,0.0,0.0019478305583777776,8.92921222349775e-05
7,13.708241745279755,-112.75234154017275,0.0451177607915727,13,1.4207320712800247,4.1401502161783625,182.8276250049939,109.52214605665047,-378.1613587146233,1.001795147426767,2.3419866899543354e-16,-3.781402745537756e-06,0.0,1.326458567416921e-05,3.7814027457719545e-06
8,12.346772463341855,-98.62236969955022,0.3487589872955916,12,1.4206088970723145,4.1396402878613365,188.9964280285659,92.40339931162985,-402.23223837804335,1.0016717597024432,-1.7677080431829797e-16,-0.0001887625254905727,0.0,0.00014152816115593599,0.00018876252549039591
9,10.778662522827245,-133.7407903099048,0.3583689231751168,13,1.420871698285417,4.140728333314365,178.69475236269562,99.2221491249239,-414.63372411413013,1.0019350348490221,-1.8107390655116526e-17,-1.8107390655116526e-17,0.0,0.0,0.0
10,2.9743921295549987,-125.68227937960191,0.3807492933721829,15,1.420871698285417,4.140728333314365,153.1838427282347,74.0604431903153,-377.72764474260106,1.0019350348490221,2.426002836113283e-16,-0.005276539966288869,0.0,0.003208508548535581,0.0052765399662891115
11,19.999463543118235,50.91510208281702,-0.9441974605056742,11,1.4248056600844243,4.157049883525778,92.36742031558416,109.25465305859127,-237.4083619416598,1.0058843721789525,1.198441645772283e-17,-0.002469371304618374,0.0,0.002980253338013592,0.0024693713046183862
12,13.579121382163386,36.646890943056654,0.17796046861560377,12,1.4248958879936764,4.157424982367362,92.1071024487086,105.11418375700212,-182.28157713174537,1.0059751351174178,-9.284870503900288e-17,-0.0020824464483330148,0.0,0.001862689884196921,0.002082446448332922
13,17.280471727139492,48.145329413339056,0.06286970368407341,11,1.4241625724858373,4.154377395712963,104.32579480111943,110.70804710477564,-278.7235804358272,1.0052377083666177,-1.8452451665325328e-16,-1.8452451665325328e-16,0.0,0.0,0.0
14,13.69914539681565,-65.51460453612754,0.2452604510533838,11,1.4241625724858373,4.154377395712963,188.3731729082101,98.40123898447895,-365.9871781519889,1.005237708366618,-4.0533137459499084e-16,-0.008107801863302186,0.0,0.0016994241496410623,0.00810780186330178
15,19.977890280300468,49.668460525531515,-0.1671105741243728,11,1.424787343134399,4.156973739748171,93.71168958357171,110.564020462911,-243.76543522765346,1.0058659476139178,2.3787517713357013e-16,-0.0037881797351097253,0.0,0.002588935965106126,0.0037881797351099634
