Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,9.658396994674314,-47.219074730479704,2.6574298317427747e-12,13,1.4189385332046724,4.132731354122492,161.51183870242787,98.9291459198503,-313.05645869025966,1.0,1.3217182749222044e-17,-4.7050957474720086e-05,0.0,4.0879908787462634e-05,4.7050957474733306e-05
1,14.097531235259828,-58.728822658018004,0.25091188259372954,12,1.4193808435031487,4.1345597080813405,170.30576686909347,120.12778840638951,-320.30889323797044,1.0004424081321,2.7771886433816355e-17,-1.4903100146348379e-05,0.0,7.488842719976649e-06,1.4903100146376151e-05
2,15.522520320750528,-107.13687991595452,0.26810183806974064,12,1.4196883734705181,4.135831404625829,204.97701637478602,120.89162642687204,-391.20318599793194,1.0007501214663388,-2.8899613080954125e-17,-1.7280664428818856e-05,0.0,2.4889258021488383e-06,1.7280664428789955e-05
3,17.53851026347477,3.2780663472076,0.09075599559680347,11,1.419361393212316,4.134479290474628,158.5343812091251,93.08164173024747,-402.779228355496,1.0004229494255394,7.015133969077589e-17,-2.81402994428063e-05,0.0,6.478983373939701e-05,2.814029944287645e-05
4,16.71292130846445,-51.430052373221564,0.17740179756585028,12,1.4192422867954517,4.133986876786138,184.27144370169376,91.92551284497702,-397.3175865498719,1.0003037997285722,-2.316969622508011e-16,-0.002387522407641003,0.0,0.0006365928530243126,0.0023875224076407714
5,10.887932107646048,-24.018008542363017,0.1796777422884691,13,1.4214030874718302,4.142929256296108,140.59638593685128,122.32696149511888,-333.5518801609158,1.0024675937775256,2.149945494318509e-16,-0.0018930011771065357,0.0,0.0009240214446637823,0.0018930011771067505
6,15.451159739010063,-17.084125892767506,0.26020953054947427,11,1.4223484584469137,4.146847713272746,178.49950449526256,78.48275637920662,-409.2668882509741,1.003415745651159,1.033740089986267e-16,-0.0028629590483475317,0.0,0.00078393063892122,0.002862959048347635
7,17.28598875998019,73.08814651018896,-9.029305245987093,10,1.421726554845779,4.144269575506179,14.2118140307679,106.84807089979599,53.87774510482126,1.0027919117878723,-1.5369927552910668e-16,-0.001065113473630255,0.0,0.000554770121372983,0.0010651134736301012
8,15.820290402177193,74.05696011589197,0.12244892471015123,10,1.4235814996033693,4.151964100882771,15.131242067025372,100.8675730077097,54.45445681884254,1.0046537616680777,-2.7741697827821097e-16,-0.0018859385724158482,0.0,0.0007688295806926758,0.0018859385724155709
9,14.896074070533922,80.78114257545401,0.15145735530585203,10,1.4302830338955945,4.179882072823852,16.439671593430813,105.44325313715333,56.26562061320048,1.0114090935657656,1.616706768459153e-16,-0.0007750294181542778,0.0,0.000608551336823243,0.0007750294181544395
10,20.494110065867012,96.80154260562077,0.2975296364392165,10,1.4282953889579877,4.171582202711963,18.92910918091489,132.48870555681503,62.43491873356181,1.0094007679813775,3.1086244689504383e-19,-0.0017301670755763031,0.0,0.0005420543853598971,0.0017301670755763034
11,16.96432689542005,98.73653048678659,0.22913623743861555,10,1.426663801743777,4.164781452044583,20.327650747733628,144.57205229478473,69.39294753513069,1.007755185415118,-2.326229486815379e-17,-0.0014168094188941405,0.0,0.000542631509328592,0.0014168094188941173
