Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,12.952433500656023,-13.060254659694587,3.4203750942651823e-12,12,1.4189385332046722,4.132731354122491,155.22395030772077,93.79482064738193,-318.1240303995812,1.0,1.7383287556487968e-16,-7.886576851860979e-05,0.0,0.00010494312520080884,7.886576851878363e-05
1,18.134611744137377,60.578910864414155,-1.2230218503629042,11,1.4199984587588756,4.1371140639561474,74.49878767772563,119.64772539136338,-167.80202076054735,1.0010604874738063,-2.983657645713154e-16,-2.983657645713154e-16,0.0,0.0,0.0
2,15.541105682879946,-22.00262625378392,0.11734311096835737,11,1.4199984587588754,4.137114063956147,170.84159452982092,98.66208671109669,-346.61740177060653,1.0010604874738067,1.7973259943545144e-16,-0.003209547839493093,0.0,0.00394761602604588,0.0032095478394932727
3,13.992874683308013,-17.51667914874532,0.1017208891445508,11,1.418633377868632,4.131470421497304,175.42820798823803,111.75225859127002,-343.058001700231,0.9996948912191131,1.030443564884461e-16,-0.005611091099128861,0.0,0.003259378532906172,0.005611091099128964
4,16.588172376744,69.67874309040475,-3.9255812874357847,10,1.4187096816487546,4.131785680335496,10.307677240430616,86.02681695516655,53.840804540790984,0.9997711746286015,2.1671553440683057e-17,-0.0017029070573705632,0.0,0.004572650614824957,0.0017029070573705849
5,17.230400890329427,89.96972648496134,-0.034737293785474854,10,1.4162388033121118,4.1215891429956075,16.14014843010099,122.8175974751109,63.869977629553084,0.9973039111008822,1.0980105713542798e-16,-0.0008072458610043782,0.0,0.004495438747815615,0.000807245861004488
6,16.057482681557133,2.009969167295935,0.006340752692407969,11,1.4216530433994092,4.14396493545294,165.4316562280128,108.8662757768949,-386.8858008638796,1.002718197813473,1.2522451957199027e-16,-3.3048826086444394e-05,0.0,8.940288007708317e-05,3.304882608656962e-05
7,14.85725896393285,10.566037503214234,-0.4429186464867467,11,1.421202035871273,4.142096397464741,149.08538049343844,116.2473394293879,-338.72372274432723,1.0022660663226768,-1.0797329357983085e-16,-1.0797329357983085e-16,0.0,0.0,0.0
8,16.39987290669661,71.6063384939936,-3.156732371197158,10,1.4212020358712731,4.142096397464742,17.6268933447541,114.79177997349444,48.3937083904708,1.0022660663226766,6.692424392440444e-17,-3.110304825498966e-06,0.0,0.0009632942790643383,3.11030482556589e-06
9,16.680407362700162,77.19128664145495,0.3932559530788451,10,1.4201440268720054,4.137716339679247,15.837584509571712,107.19039054264599,58.486436455638184,1.0012062205668852,-1.0458300891968975e-17,-6.441901499646185e-06,0.0,8.689820339235703e-05,6.441901499635727e-06
