Iteration,AverageDiscountedReturn,AverageReturn,ExplainedVariance,NumTrajs,Entropy,Perplexity,StdReturn,MaxReturn,MinReturn,AveragePolicyStd,LossBefore,LossAfter,MeanKLBefore,MeanKL,dLoss
0,19.979355984163167,-21.319932514599216,3.580247209811205e-12,15,1.4189385332046724,4.132731354122492,129.29148201286804,156.3511856800445,-324.6573125472424,1.0,-1.2852082494206476e-16,-0.005034159400701435,0.0,0.004029763603704233,0.005034159400701307
1,25.387441615241947,92.62396881973964,-4.69469995087255,10,1.4191741761887824,4.133705318020675,49.72051030078095,218.67942954362297,34.5626584589314,1.0002356707500986,1.830757767606883e-17,1.830757767606883e-17,0.0,0.0,0.0
2,20.058482534265107,55.57108556642631,-0.14261893894104016,11,1.4191741761887826,4.1337053180206755,118.8650652636015,147.78394061439377,-308.06493933837845,1.0002356707500986,-2.8691519444528027e-16,-0.0016609591378368975,0.0,0.00224734711192142,0.0016609591378366107
3,20.97380686867884,51.69526816153418,0.04556122054050504,11,1.4196229055498804,4.135560649206654,84.85645526696315,143.93372678626022,-201.68362239976398,1.0006846065813928,-1.4001607433832275e-16,-0.0030125830022897297,0.0,0.0032935379092142816,0.0030125830022895896
4,17.234967716199673,66.39155883937596,0.11491688275306378,11,1.41985467655506,4.1365192633404915,96.45885344036945,135.11016574127427,-221.82705041856818,1.0009165631378922,-5.489823541716817e-16,-0.0024279297922261594,0.0,0.002343744400139813,0.0024279297922256103
5,19.236150470356595,12.044048421488855,0.33268507126419244,13,1.4208687937473317,4.140716306428686,119.70384259869451,174.56303467152748,-189.7980638087451,1.0019321246947808,1.3559314994400816e-16,-0.006616999887873033,0.0,0.0045501486786748155,0.006616999887873168
6,18.500994171863145,68.04768169001603,-0.10333389570801943,11,1.4195139840300792,4.135110222186556,115.76852016228898,159.9289846083346,-288.7206732000523,1.0005756164289965,-3.564389341412632e-16,-0.0036295752477066147,0.0,0.004950603424108479,0.003629575247706258
7,28.35579256922336,92.97722589635684,0.024032946383042653,10,1.4208539726966054,4.140654937117045,23.17120501910231,146.97918956149636,60.131622541209154,1.0019172751179792,5.666023206174486e-17,-0.0017116356672831853,0.0,0.0015182526990218084,0.0017116356672832419
8,16.68192001774392,53.90374349429149,0.004342194537137911,11,1.4232142269091048,4.150439477834295,133.06823419598302,137.3845917790836,-354.5081068169428,1.0042848475244202,3.3947164890149065e-16,-0.0011848706383311386,0.0,0.002226335304404168,0.0011848706383314781
9,19.72489117958023,16.45929350744353,-0.2682635780332785,11,1.423448661087688,4.151412596765752,128.2571875403841,125.53649934488612,-297.787032786557,1.0045203138173073,1.1008915957629827e-16,1.1008915957629827e-16,0.0,0.0,0.0
